Neighbours: ['drift/380_[44.495704939559, 11.3372547926228]', 'drift/381_[44.4965862496247, 11.3374391221777]', 'drift/378_[44.4966507384083, 11.3369661513812]']
Systematic drift detected with reference file reference_0.csv, period = 1, p_value = 0.0, ks_statistics = 0.6399305555555556 , threshold = 0.6666666666666666, direction = 1
Systematic drift detected with reference file reference_1.csv, period = 2, p_value = 0.0, ks_statistics = 0.5338403669636315 , threshold = 1.0, direction = 0
Neighbours: ['drift/380_[44.495704939559, 11.3372547926228]', 'drift/381_[44.4965862496247, 11.3374391221777]', 'drift/378_[44.4966507384083, 11.3369661513812]']
Systematic drift detected with reference file reference_2.csv, period = 1, p_value = 6.2462865127284385e-43, ks_statistics = 0.18356847063133944 , threshold = 1.0, direction = 0
No drift detected, period = 2, p_value = 0.15331000391190647, ks_statistics = 0.029861111111111113
Systematic drift detected with reference file reference_4.csv, period = 3, p_value = 2.5730474798885887e-40, ks_statistics = 0.178125 , threshold = 1.0, direction = 1
Neighbours: ['drift/380_[44.495704939559, 11.3372547926228]', 'drift/381_[44.4965862496247, 11.3374391221777]', 'drift/378_[44.4966507384083, 11.3369661513812]']
Systematic drift detected with reference file reference_5.csv, period = 1, p_value = 7.393209652344344e-43, ks_statistics = 0.18368055555555557 , threshold = 1.0, direction = 0
Systematic drift detected with reference file reference_6.csv, period = 2, p_value = 0.0, ks_statistics = 0.6399305555555556 , threshold = 0.6666666666666666, direction = 1
Systematic drift detected with reference file reference_7.csv, period = 3, p_value = 0.0, ks_statistics = 0.5336805555555556 , threshold = 1.0, direction = 0
