Neighbours: ['drift/9_[44.4943294432991, 11.3520841867509]', 'drift/8_[44.4941035248986, 11.3519809631422]']
No drift detected, period = 1, p_value = 0.14438150217346435, ks_statistics = 0.030208333333333334
No drift detected, period = 2, p_value = 0.006760708436136934, ks_statistics = 0.044444444444444446
Neighbours: ['drift/9_[44.4943294432991, 11.3520841867509]', 'drift/8_[44.4941035248986, 11.3519809631422]']
No drift detected, period = 1, p_value = 0.0992513388709975, ks_statistics = 0.03229166666666667
No drift detected, period = 2, p_value = 0.14438150217346435, ks_statistics = 0.030208333333333334
No drift detected, period = 3, p_value = 0.006760708436136934, ks_statistics = 0.044444444444444446
Neighbours: ['drift/9_[44.4943294432991, 11.3520841867509]', 'drift/8_[44.4941035248986, 11.3519809631422]']
No drift detected, period = 1, p_value = 0.0992513388709975, ks_statistics = 0.03229166666666667
No drift detected, period = 2, p_value = 0.14438150217346435, ks_statistics = 0.030208333333333334
No drift detected, period = 3, p_value = 0.006760708436136934, ks_statistics = 0.044444444444444446
